Type,Region,Price,Distance_from_CBD,Rooms,Bathroom,Car_Spot,Schooling_Facilities
0,6,680000.0,13.5,3,1.0,0.0,229.0
2,6,530000.0,13.5,2,1.0,1.0,229.0
0,6,895000.0,13.5,3,1.0,5.0,229.0
2,6,600000.0,13.5,3,1.0,0.0,229.0
0,6,805000.0,13.5,3,1.0,1.0,229.0
1,6,760000.0,13.5,3,1.0,0.0,229.0
2,6,752000.0,13.5,3,1.0,1.0,229.0
2,6,580000.0,13.5,3,1.0,0.0,229.0
0,6,725000.0,13.5,3,1.0,0.0,229.0
0,6,758000.0,13.5,4,1.0,0.0,229.0
2,6,440000.0,13.5,2,1.0,1.0,229.0
0,6,970000.0,13.5,3,1.0,0.0,229.0
0,6,755000.0,13.5,5,2.0,2.0,229.0
0,6,985000.0,13.5,4,1.0,0.0,229.0
1,6,700000.0,13.5,3,2.0,2.0,229.0
2,6,509500.0,13.5,2,1.0,0.0,229.0
0,6,830000.0,13.5,3,1.0,2.0,229.0
2,6,462500.0,13.5,2,1.0,1.0,229.0
0,6,670000.0,13.5,3,2.0,2.0,229.0
0,6,675000.0,13.5,2,1.0,1.0,229.0
0,6,1042000.0,13.5,3,2.0,5.0,229.0
0,6,910000.0,13.5,3,1.0,1.0,229.0
0,6,773000.0,13.5,4,3.0,4.0,229.0
0,6,715000.0,13.5,3,1.0,0.0,229.0
0,6,810000.0,13.5,3,3.0,2.0,229.0
0,6,715000.0,13.5,3,2.0,2.0,229.0
0,6,790000.0,13.5,3,1.0,3.0,229.0
1,6,460000.0,13.5,2,1.0,0.0,229.0
1,6,540000.0,13.5,3,2.0,1.0,229.0
1,6,825000.0,13.5,3,2.0,1.0,229.0
0,6,685000.0,13.5,3,1.0,1.0,229.0
2,6,445000.0,13.5,3,1.0,0.0,229.0
0,6,805000.0,13.5,3,1.0,1.0,229.0
2,6,510000.0,13.5,2,1.0,1.0,229.0
0,6,612000.0,13.5,3,2.0,1.0,229.0
0,6,662000.0,13.5,3,1.0,2.0,229.0
0,6,978000.0,13.5,4,3.0,2.0,229.0
0,6,720000.0,13.5,3,1.0,1.0,229.0
2,6,474000.0,13.5,2,1.0,0.0,229.0
1,6,490000.0,13.5,2,1.0,0.0,229.0
0,6,405000.0,13.5,3,1.0,0.0,229.0
1,6,715000.0,13.5,3,1.0,0.0,229.0
2,6,671500.0,13.5,3,1.0,0.0,229.0
0,6,765000.0,13.5,4,1.0,2.0,229.0
0,6,900000.0,13.5,4,2.0,3.0,229.0
2,6,820000.0,13.5,3,1.0,0.0,229.0
2,6,650000.0,13.5,3,1.0,0.0,229.0
1,6,552000.0,13.5,3,1.0,0.0,229.0
0,5,1275000.0,3.3,2,1.0,0.0,191.0
0,5,1455000.0,3.3,2,1.0,0.0,191.0
0,5,2290000.0,3.3,3,2.0,0.0,191.0
0,5,1850000.0,3.3,3,2.0,0.0,191.0
0,5,1436000.0,3.3,2,1.0,0.0,191.0
0,5,1110000.0,3.3,2,1.0,0.0,191.0
0,5,1550000.0,3.3,2,1.0,1.0,191.0
0,5,2290000.0,3.3,4,2.0,1.0,191.0
1,5,1550000.0,3.3,3,2.0,2.0,191.0
0,5,1800000.0,3.3,3,2.0,1.0,191.0
0,5,2290000.0,3.3,3,2.0,0.0,191.0
0,5,2120000.0,3.3,2,1.0,1.0,191.0
0,5,1800000.0,3.3,3,1.0,1.0,191.0
0,5,1800000.0,3.3,3,2.0,1.0,191.0
0,5,1810000.0,3.3,2,1.0,0.0,191.0
0,5,2290000.0,3.3,3,2.0,1.0,191.0
0,5,2100000.0,3.3,5,2.0,1.0,191.0
0,5,1300000.0,3.3,3,1.0,0.0,191.0
0,5,1370000.0,3.3,3,2.0,2.0,191.0
0,5,1000000.0,3.3,2,1.0,0.0,191.0
0,5,2290000.0,3.3,3,2.0,1.0,191.0
0,5,1322500.0,3.3,2,1.0,0.0,191.0
0,5,1562500.0,3.3,2,1.0,0.0,191.0
0,5,2000000.0,3.3,3,2.0,1.0,191.0
0,5,1900000.0,3.3,3,1.0,0.0,191.0
0,5,2290000.0,3.3,3,2.0,0.0,191.0
0,5,2290000.0,3.3,4,3.0,1.0,191.0
2,5,647000.0,3.3,2,1.0,1.0,191.0
0,5,2100000.0,3.3,3,1.0,1.0,191.0
0,5,2000000.0,3.3,3,1.0,1.0,191.0
2,5,442500.0,3.3,1,1.0,0.0,191.0
0,5,2290000.0,3.3,4,2.0,1.0,191.0
0,5,1340000.0,3.3,2,1.0,0.0,191.0
0,5,1801000.0,3.3,3,1.0,1.0,191.0
0,5,1532000.0,3.3,3,3.0,1.0,191.0
0,5,2290000.0,3.3,3,2.0,2.0,191.0
0,5,2140000.0,3.3,4,2.0,1.0,191.0
2,5,1810000.0,3.3,2,2.0,0.0,191.0
0,5,1750000.0,3.3,2,1.0,1.0,191.0
0,5,980000.0,3.3,2,1.0,0.0,191.0
0,5,2030000.0,3.3,3,2.0,0.0,191.0
0,5,1740000.0,3.3,3,2.0,2.0,191.0
0,5,2290000.0,3.3,3,3.0,1.0,191.0
0,5,985000.0,3.3,1,1.0,0.0,191.0
0,2,2000000.0,6.4,4,2.0,4.0,239.0
0,2,1110000.0,6.4,3,2.0,2.0,239.0
0,2,1492000.0,6.4,3,2.0,2.0,239.0
2,2,480000.0,6.4,2,1.0,0.0,239.0
1,2,1304000.0,6.4,3,1.0,0.0,239.0
0,2,1717500.0,6.4,4,2.0,1.0,239.0
0,2,2290000.0,6.4,5,3.5,4.0,239.0
2,2,525500.0,6.4,2,1.0,1.0,239.0
1,2,805000.0,6.4,2,2.0,3.0,239.0
2,2,465000.0,6.4,2,1.0,1.0,239.0
0,2,1480000.0,6.4,3,1.0,0.0,239.0
0,2,2000000.0,6.4,3,3.0,2.0,239.0
0,2,1540000.0,6.4,3,1.0,2.0,239.0
2,2,590000.0,6.4,2,1.0,0.0,239.0
2,2,820000.0,6.4,2,1.0,1.0,239.0
0,2,1830000.0,6.4,4,2.0,2.0,239.0
0,2,2100000.0,6.4,4,2.0,2.0,239.0
0,2,865000.0,6.4,3,1.0,1.0,239.0
2,2,390000.0,6.4,2,1.0,1.0,239.0
1,2,650000.0,6.4,2,1.0,0.0,239.0
2,2,512000.0,6.4,2,1.0,1.0,239.0
0,2,1361000.0,6.4,3,1.0,0.0,239.0
0,2,1310000.0,6.4,3,1.0,0.0,239.0
0,2,570000.0,6.4,3,1.0,0.0,239.0
0,2,1165000.0,6.4,3,1.0,2.0,239.0
2,2,530000.0,6.4,2,1.0,0.0,239.0
0,2,1900000.0,6.4,4,2.0,2.0,239.0
0,2,1485000.0,6.4,3,0.0,0.0,239.0
0,2,1950000.0,6.4,4,2.0,3.0,239.0
0,6,520000.0,13.8,3,2.0,1.0,229.0
0,6,1525000.0,13.8,5,3.0,3.0,229.0
1,6,720000.0,13.8,2,1.0,2.0,229.0
0,6,1120000.0,13.8,3,1.0,2.0,229.0
0,6,780000.0,13.8,4,1.0,4.0,229.0
0,6,1780000.0,13.8,4,3.0,5.0,229.0
2,6,630000.0,13.8,3,1.0,2.0,229.0
2,6,406000.0,13.8,2,1.0,1.0,229.0
0,6,660000.0,13.8,3,1.0,1.0,229.0
0,6,683500.0,13.8,3,1.0,1.0,229.0
2,6,540000.0,13.8,2,1.0,0.0,229.0
2,6,580000.0,13.8,2,1.0,1.0,229.0
0,6,1335000.0,13.8,3,1.0,4.0,229.0
1,6,800000.0,13.8,3,2.0,2.0,229.0
2,6,510000.0,13.8,2,1.0,1.0,229.0
0,6,1070000.0,13.8,4,2.0,2.0,229.0
2,6,425000.0,13.8,2,1.0,2.0,229.0
2,6,605000.0,13.8,3,2.0,2.0,229.0
1,6,705000.0,13.8,3,2.0,2.0,229.0
2,6,391000.0,13.8,2,1.0,1.0,229.0
2,6,440000.0,13.8,2,1.0,1.0,229.0
0,6,845000.0,13.8,4,1.0,2.0,229.0
0,6,766000.0,13.8,3,1.0,0.0,229.0
1,6,743000.0,13.8,3,2.0,2.0,229.0
1,6,650000.0,13.8,3,1.0,0.0,229.0
2,6,730000.0,13.8,3,2.0,1.0,229.0
1,6,916500.0,13.8,3,1.0,0.0,229.0
0,6,635000.0,13.8,3,1.0,4.0,229.0
2,6,620000.0,13.8,2,1.0,1.0,229.0
2,6,447000.0,13.8,2,1.0,1.0,229.0
2,6,730000.0,13.8,3,2.0,1.0,229.0
0,6,678000.0,13.8,3,1.0,2.0,229.0
2,6,580000.0,13.8,2,2.0,1.0,229.0
0,6,712000.0,13.8,3,1.0,2.0,229.0
0,6,840000.0,13.8,3,2.0,2.0,229.0
0,6,980000.0,13.8,3,1.0,2.0,229.0
0,6,1000000.0,13.8,4,1.0,0.0,229.0
1,6,605100.0,13.8,3,2.0,0.0,229.0
0,6,880000.0,13.8,3,3.0,1.0,229.0
2,6,577000.0,13.8,3,2.0,1.0,229.0
0,6,1030000.0,13.8,4,1.0,0.0,229.0
2,6,605000.0,13.8,3,1.0,2.0,229.0
0,6,685000.0,13.8,3,1.0,0.0,229.0
0,6,753000.0,13.8,3,2.0,2.0,229.0
0,6,857000.0,13.8,2,2.0,1.0,229.0
0,6,1500000.0,13.8,3,1.0,1.0,229.0
0,6,900000.0,13.8,3,1.0,4.0,229.0
0,6,740000.0,13.8,3,1.0,2.0,229.0
0,6,931000.0,13.8,4,2.0,3.0,229.0
0,6,535600.0,13.8,2,1.0,1.0,229.0
0,6,1085000.0,11.1,5,3.0,5.0,229.0
0,6,781000.0,11.1,3,1.0,2.0,229.0
0,6,857500.0,11.1,4,1.0,0.0,229.0
0,6,960000.0,11.1,4,1.0,0.0,229.0
0,6,750000.0,11.1,3,1.0,3.0,229.0
1,6,421000.0,11.1,2,1.0,1.0,229.0
0,6,1405000.0,11.1,3,1.0,3.0,229.0
0,6,683000.0,11.1,3,1.0,2.0,229.0
0,6,623000.0,11.1,3,1.0,3.0,229.0
0,6,720000.0,11.1,3,2.0,1.0,229.0
1,6,780000.0,11.1,4,1.0,0.0,229.0
2,6,720000.0,11.1,3,1.0,0.0,229.0
0,6,705000.0,11.1,3,1.0,0.0,229.0
0,6,588000.0,11.1,3,1.0,1.0,229.0
0,6,720000.0,11.1,4,1.0,0.0,229.0
0,6,710000.0,11.1,3,1.0,3.0,229.0
0,6,550000.0,11.1,2,1.0,0.0,229.0
2,6,640000.0,11.1,3,1.0,0.0,229.0
0,6,537500.0,11.1,3,1.0,0.0,229.0
0,6,875000.0,11.1,4,1.0,4.0,229.0
0,6,800000.0,11.1,3,1.0,0.0,229.0
1,6,713500.0,11.1,3,1.0,0.0,229.0
0,6,700000.0,11.1,3,1.0,3.0,229.0
0,6,551000.0,11.1,2,1.0,0.0,229.0
0,6,685000.0,11.1,3,1.0,0.0,229.0
1,6,640000.0,11.1,2,1.0,1.0,229.0
0,6,650000.0,11.1,4,1.0,4.0,229.0
0,6,925000.0,11.1,3,1.0,0.0,229.0
1,6,670000.0,11.1,3,1.0,0.0,229.0
0,6,680000.0,11.1,3,1.0,0.0,229.0
0,6,765000.0,11.1,3,1.0,0.0,229.0
0,6,675000.0,11.1,3,2.0,2.0,229.0
0,6,708000.0,11.1,3,1.0,2.0,229.0
1,6,656000.0,11.1,3,1.0,0.0,229.0
0,6,883000.0,11.1,4,1.0,0.0,229.0
0,6,965000.0,11.1,4,1.0,4.0,229.0
0,6,870000.0,11.1,3,1.0,0.0,229.0
0,6,681000.0,11.1,3,1.0,0.0,229.0
0,6,522500.0,11.1,2,1.0,0.0,229.0
0,6,972000.0,11.1,5,1.0,0.0,229.0
1,6,590000.0,11.1,3,1.0,0.0,229.0
0,6,450000.0,11.1,2,1.0,0.0,229.0
0,6,750000.0,11.1,3,1.0,0.0,229.0
0,6,680000.0,11.1,3,1.0,3.0,229.0
1,6,510000.0,11.1,2,1.0,0.0,229.0
0,6,770000.0,11.1,3,1.0,3.0,229.0
0,6,923000.0,11.1,3,1.0,2.0,229.0
0,6,693000.0,11.1,4,2.0,4.0,229.0
0,6,620000.0,11.1,3,2.0,2.0,229.0
0,6,728500.0,11.1,3,1.0,1.0,229.0
0,6,931000.0,11.1,3,2.0,1.0,229.0
0,6,988000.0,11.1,3,1.0,4.0,229.0
0,6,590000.0,11.1,3,1.0,0.0,229.0
0,6,590000.0,11.1,3,1.0,2.0,229.0
0,6,610000.0,11.1,2,1.0,2.0,229.0
0,6,815000.0,11.1,3,2.0,3.0,229.0
0,6,970000.0,11.1,4,1.0,2.0,229.0
0,6,840000.0,11.1,4,1.0,0.0,229.0
0,6,840000.0,11.1,3,1.0,0.0,229.0
0,6,760000.0,11.1,4,1.0,3.0,229.0
0,6,852500.0,11.1,3,1.0,0.0,229.0
1,6,847500.0,11.1,4,3.0,1.0,229.0
0,6,1200000.0,11.1,4,1.0,4.0,229.0
0,6,630000.0,11.1,3,1.0,0.0,229.0
0,6,700000.0,11.1,3,1.0,1.0,229.0
0,6,625000.0,11.1,3,1.0,1.0,229.0
2,6,292000.0,11.1,2,1.0,1.0,229.0
1,6,640000.0,11.1,3,1.0,0.0,229.0
2,5,599000.0,6.3,2,1.0,1.0,191.0
2,5,550000.0,6.3,2,1.0,0.0,191.0
2,5,995000.0,6.3,3,2.0,2.0,191.0
1,5,1205000.0,6.3,3,2.0,2.0,191.0
0,5,2290000.0,6.3,3,2.0,0.0,191.0
0,5,1939000.0,6.3,3,2.0,2.0,191.0
2,5,421500.0,6.3,1,1.0,0.0,191.0
2,5,585000.0,6.3,2,2.0,0.0,191.0
0,5,2050000.0,6.3,3,2.0,0.0,191.0
0,5,1870000.0,6.3,3,1.0,1.0,191.0
2,5,678000.0,6.3,2,1.0,2.0,191.0
1,5,1918000.0,6.3,3,2.0,2.0,191.0
2,5,660000.0,6.3,2,1.0,1.0,191.0
0,5,2050000.0,6.3,3,2.0,1.0,191.0
2,5,700000.0,6.3,2,1.0,2.0,191.0
2,5,2290000.0,6.3,2,2.0,2.0,191.0
0,5,2290000.0,6.3,4,2.0,2.0,191.0
0,5,1930000.0,6.3,2,2.0,0.0,191.0
0,5,1525000.0,6.3,5,2.0,2.0,191.0
2,5,735000.0,6.3,3,2.0,1.0,191.0
2,5,825000.0,6.3,2,1.0,1.0,191.0
1,5,1586000.0,6.3,3,2.0,2.0,191.0
2,5,645000.0,6.3,2,1.0,1.0,191.0
0,5,1435000.0,6.3,1,2.0,1.0,191.0
2,5,280000.0,6.3,1,1.0,1.0,191.0
2,5,400000.0,6.3,1,1.0,1.0,191.0
0,5,1780000.0,6.3,2,2.0,2.0,191.0
2,5,592500.0,6.3,2,1.0,1.0,191.0
0,5,1210000.0,6.3,2,1.0,0.0,191.0
0,5,2290000.0,6.3,4,2.0,2.0,191.0
2,5,390000.0,6.3,1,1.0,0.0,191.0
0,5,1800000.0,6.3,3,2.0,2.0,191.0
0,5,2200000.0,6.3,4,1.0,2.0,191.0
2,5,324000.0,6.3,1,1.0,1.0,191.0
0,5,2290000.0,6.3,6,3.0,4.0,191.0
0,5,1125000.0,6.3,2,1.0,2.0,191.0
0,5,2250000.0,6.3,3,3.0,1.0,191.0
0,5,2290000.0,6.3,3,2.0,0.0,191.0
0,5,1900000.0,6.3,2,2.0,0.0,191.0
2,5,440000.0,6.3,1,1.0,1.0,191.0
2,5,490000.0,6.3,2,1.0,1.0,191.0
0,5,2290000.0,6.3,3,2.0,1.0,191.0
0,5,1300000.0,6.3,3,1.0,2.0,191.0
2,5,732000.0,6.3,3,2.0,2.0,191.0
2,5,704000.0,6.3,2,1.0,1.0,191.0
2,5,620000.0,6.3,2,1.0,1.0,191.0
0,5,1900000.0,6.3,3,1.0,2.0,191.0
2,5,315000.0,6.3,1,1.0,1.0,191.0
0,5,1992000.0,6.3,3,2.0,0.0,191.0
2,5,450000.0,6.3,1,1.0,1.0,191.0
2,5,710000.0,6.3,2,1.0,1.0,191.0
2,5,872000.0,6.3,2,1.0,1.0,191.0
2,5,598000.0,6.3,2,1.0,1.0,191.0
0,5,1285000.0,6.3,3,1.0,2.0,191.0
0,5,2290000.0,6.3,4,3.0,2.0,191.0
2,5,520000.0,6.3,2,1.0,1.0,191.0
0,5,2290000.0,6.3,4,2.0,0.0,191.0
2,5,690000.0,6.3,2,2.0,0.0,191.0
0,5,2290000.0,6.3,4,1.0,2.0,191.0
0,5,2290000.0,6.3,4,3.0,3.0,191.0
1,5,1101000.0,6.3,3,1.0,2.0,191.0
0,5,2290000.0,6.3,3,2.0,2.0,191.0
0,5,2000000.0,6.3,4,3.0,4.0,191.0
2,5,869000.0,6.3,3,1.0,1.0,191.0
2,5,577000.0,6.3,2,2.0,0.0,191.0
0,5,2290000.0,6.3,3,2.0,0.0,191.0
0,5,2290000.0,6.3,5,2.0,2.0,191.0
2,5,565000.0,6.3,2,1.0,1.0,191.0
2,5,567000.0,6.3,1,1.0,1.0,191.0
2,5,546000.0,6.3,2,0.0,0.0,191.0
2,5,471500.0,6.3,2,1.0,1.0,191.0
2,6,455000.0,5.9,2,1.0,2.0,229.0
0,6,940000.0,5.9,3,1.0,2.0,229.0
2,6,467000.0,5.9,2,1.0,1.0,229.0
0,6,895000.0,5.9,3,1.0,0.0,229.0
0,6,1380000.0,5.9,3,2.0,2.0,229.0
2,6,490000.0,5.9,2,1.0,1.0,229.0
0,6,1850000.0,5.9,4,3.0,1.0,229.0
0,6,1284000.0,5.9,3,1.0,2.0,229.0
0,6,971000.0,5.9,3,2.0,2.0,229.0
0,6,710000.0,5.9,2,1.0,1.0,229.0
0,6,2290000.0,5.9,6,3.0,2.0,229.0
0,6,750000.0,5.9,2,1.0,1.0,229.0
0,6,840000.0,5.9,2,1.0,0.0,229.0
0,6,1053000.0,5.9,2,1.0,1.0,229.0
0,6,1377000.0,5.9,3,1.0,1.0,229.0
0,6,970000.0,5.9,3,1.0,2.0,229.0
0,6,940000.0,5.9,2,1.0,1.0,229.0
0,6,751000.0,5.9,2,1.0,1.0,229.0
0,6,950000.0,5.9,2,1.0,1.0,229.0
2,6,685000.0,5.9,2,1.0,2.0,229.0
0,6,1230000.0,5.9,3,1.0,2.0,229.0
0,6,636500.0,5.9,2,1.0,1.0,229.0
0,6,910000.0,5.9,3,1.0,0.0,229.0
0,6,872500.0,5.9,2,1.0,0.0,229.0
0,6,770000.0,5.9,2,1.0,1.0,229.0
1,6,490000.0,5.9,2,1.0,0.0,229.0
0,6,960000.0,5.9,3,2.0,2.0,229.0
0,6,890000.0,5.9,4,1.0,1.0,229.0
0,6,965000.0,5.9,2,1.0,1.0,229.0
0,6,1200000.0,5.9,4,1.0,0.0,229.0
0,6,1440000.0,5.9,3,1.0,1.0,229.0
0,6,955000.0,5.9,2,1.0,0.0,229.0
2,6,450000.0,5.9,2,1.0,1.0,229.0
0,6,801000.0,5.9,3,1.0,2.0,229.0
0,6,770000.0,5.9,3,1.0,0.0,229.0
0,6,1000000.0,5.9,3,2.0,2.0,229.0
0,6,1435000.0,5.9,3,2.0,2.0,229.0
2,6,390000.0,5.9,1,1.0,1.0,229.0
0,6,1425000.0,5.9,3,2.0,2.0,229.0
0,6,925000.0,5.9,3,1.0,0.0,229.0
0,6,1340000.0,5.9,4,2.0,2.0,229.0
0,6,955000.0,5.9,3,1.0,1.0,229.0
0,6,1075000.0,5.9,2,1.0,0.0,229.0
0,6,1100000.0,5.9,4,2.0,5.0,229.0
0,6,1255000.0,5.9,3,2.0,2.0,229.0
0,6,1483000.0,5.9,4,1.0,0.0,229.0
2,6,432000.0,5.9,2,1.0,1.0,229.0
0,6,1640000.0,5.9,4,3.0,2.0,229.0
0,6,1430000.0,5.9,6,2.0,1.0,229.0
2,6,610000.0,5.9,2,1.0,1.0,229.0
0,6,940000.0,5.9,3,3.0,1.0,229.0
0,6,890000.0,5.9,3,1.0,1.0,229.0
0,6,1505000.0,5.9,4,1.0,0.0,229.0
0,6,1180000.0,5.9,3,2.0,2.0,229.0
0,6,1480000.0,5.9,4,2.0,2.0,229.0
0,6,1150000.0,5.9,2,1.0,1.0,229.0
0,6,1350000.0,5.9,3,1.0,3.0,229.0
0,6,1905000.0,5.9,5,2.0,2.0,229.0
1,6,865000.0,5.9,2,2.0,1.0,229.0
1,6,705000.0,5.9,2,2.0,1.0,229.0
2,6,442000.0,5.9,2,1.0,1.0,229.0
2,6,540000.0,5.9,2,2.0,1.0,229.0
0,6,1037500.0,5.9,3,1.0,2.0,229.0
1,6,1050000.0,5.9,3,2.0,2.0,229.0
2,6,440000.0,5.9,2,1.0,1.0,229.0
0,6,1010000.0,5.9,2,1.0,1.0,229.0
0,6,1430000.0,5.9,4,2.0,0.0,229.0
2,6,570000.0,5.9,2,1.0,1.0,229.0
2,6,690000.0,5.9,2,1.0,1.0,229.0
0,6,1070000.0,5.9,4,1.0,0.0,229.0
0,6,1291000.0,5.9,3,1.0,2.0,229.0
0,6,1130000.0,5.9,3,2.0,1.0,229.0
0,6,1135000.0,5.9,3,1.0,1.0,229.0
0,6,950000.0,5.9,4,2.0,1.0,229.0
2,6,790000.0,5.9,3,2.0,1.0,229.0
2,6,390000.0,5.9,2,1.0,1.0,229.0
0,6,1345000.0,5.9,4,1.0,1.0,229.0
2,6,296000.0,5.9,1,1.0,0.0,229.0
0,6,1381500.0,5.9,3,2.0,2.0,229.0
0,6,940000.0,5.9,3,2.0,2.0,229.0
0,6,995000.0,5.9,3,2.0,1.0,229.0
0,6,1050000.0,5.9,3,1.0,3.0,229.0
0,6,786000.0,5.9,3,2.0,1.0,229.0
0,6,705000.0,5.9,2,1.0,3.0,229.0
0,6,660000.0,5.9,3,1.0,0.0,229.0
0,6,760000.0,5.9,2,1.0,1.0,229.0
2,6,487500.0,5.9,3,1.0,3.0,229.0
0,6,1125000.0,5.9,3,1.0,0.0,229.0
1,6,1000000.0,5.9,3,2.0,2.0,229.0
0,6,1110000.0,5.9,4,2.0,1.0,229.0
0,6,1300000.0,5.9,4,1.0,4.0,229.0
0,6,1060000.0,5.9,3,1.0,1.0,229.0
0,6,1410000.0,5.9,3,2.0,2.0,229.0
0,6,1305000.0,5.9,3,1.0,1.0,229.0
0,6,932500.0,5.9,3,2.0,1.0,229.0
0,6,965000.0,5.9,3,1.0,0.0,229.0
0,6,1215000.0,5.9,3,1.0,1.0,229.0
2,6,545000.0,5.9,2,1.0,2.0,229.0
0,6,1800000.0,5.9,4,1.0,0.0,229.0
1,6,840000.0,5.9,3,1.0,0.0,229.0
0,6,1705000.0,5.9,4,2.0,4.0,229.0
0,6,970000.0,5.9,3,1.0,1.0,229.0
0,6,925000.0,5.9,2,1.0,1.0,229.0
0,5,2290000.0,11.0,4,3.0,2.0,191.0
0,5,1820000.0,11.0,2,2.0,0.0,191.0
0,5,1670000.0,11.0,3,2.0,2.0,191.0
1,5,955000.0,11.0,3,2.0,2.0,191.0
1,5,2050000.0,11.0,3,3.0,4.0,191.0
2,5,500000.0,11.0,2,1.0,1.0,191.0
0,5,1575000.0,11.0,2,1.0,2.0,191.0
0,5,1991000.0,11.0,4,2.0,0.0,191.0
0,5,1425000.0,11.0,3,2.0,0.0,191.0
0,5,1555000.0,11.0,3,2.0,2.0,191.0
0,5,1417000.0,11.0,2,2.0,0.0,191.0
0,5,1850000.0,11.0,5,2.0,0.0,191.0
0,5,780000.0,11.0,3,2.0,0.0,191.0
0,5,1942000.0,11.0,4,2.0,0.0,191.0
0,5,1100000.0,11.0,3,3.0,2.0,191.0
0,5,1337000.0,11.0,3,1.0,2.0,191.0
0,5,2290000.0,11.0,7,3.5,4.0,191.0
0,5,2215000.0,11.0,4,2.0,1.0,191.0
0,5,1880000.0,11.0,4,2.0,0.0,191.0
0,5,1518000.0,11.0,3,2.0,2.0,191.0
0,5,1710000.0,11.0,3,1.0,2.0,191.0
0,5,1655000.0,11.0,3,1.0,3.0,191.0
1,5,1340000.0,11.0,3,2.0,0.0,191.0
0,5,1445000.0,11.0,3,2.0,0.0,191.0
0,5,1500000.0,11.0,3,2.0,0.0,191.0
0,5,1550000.0,11.0,4,2.0,2.0,191.0
