Rooms,Type,Price,Distance,Bedroom,Bathroom,Car,Landsize,Lattitude,Longtitude,Regionname,Total_Schools_per_Region
2,h,1180000,2.5,2,1,0,162,-37.8016,144.9956,Northern Metropolitan,239
3,h,1195000,2.5,3,2,1,120,-37.8022,144.9954,Northern Metropolitan,239
2,h,1012500,2.5,2,1,0,182,-37.8021,144.9976,Northern Metropolitan,239
2,h,1030000,2.5,2,1,1,172,-37.8086,144.9946,Northern Metropolitan,239
3,t,840000,13.5,3,2,1,303,-37.718,144.878,Western Metropolitan,229
3,h,730000,13.5,3,2,1,0,-37.7203,144.8755,Western Metropolitan,229
3,h,770000,13.5,3,2,1,0,-37.7203,144.8755,Western Metropolitan,229
2,h,603000,13.5,2,1,1,272,-37.7294,144.888,Western Metropolitan,229
3,t,700000,13.5,3,2,2,239,-37.7218,144.8837,Western Metropolitan,229
3,h,600000,13.5,2,1,1,290,-37.7273,144.8744,Western Metropolitan,229
2,u,500000,13.5,2,1,1,168,-37.7215,144.8864,Western Metropolitan,229
3,h,720000,13.5,2,1,1,620,-37.7173,144.8872,Western Metropolitan,229
4,h,785000,13.5,3,1,2,597,-37.7259,144.8792,Western Metropolitan,229
6,h,725000,13.5,6,3,2,976,-37.7239,144.8735,Western Metropolitan,229
2,t,450000,13.5,2,1,1,110,-37.7216,144.871,Western Metropolitan,229
2,u,515000,13.5,2,1,1,141,-37.7298,144.8883,Western Metropolitan,229
2,u,530000,13.5,2,1,1,120,-37.7234,144.8792,Western Metropolitan,229
3,h,895000,13.5,3,1,6,1063,-37.7249,144.8728,Western Metropolitan,229
3,h,805000,13.5,3,1,1,0,-37.7217,144.8783,Western Metropolitan,229
3,u,752000,13.5,3,1,1,265,-37.7302,144.8855,Western Metropolitan,229
2,u,440000,13.5,2,1,1,192,-37.7177,144.8787,Western Metropolitan,229
5,h,755000,13.5,3,2,2,596,-37.7248,144.8699,Western Metropolitan,229
3,t,700000,13.5,3,2,2,165,-37.727,144.887,Western Metropolitan,229
3,h,830000,13.5,3,1,2,971,-37.7186,144.876,Western Metropolitan,229
2,u,462500,13.5,2,1,1,164,-37.7218,144.8863,Western Metropolitan,229
3,h,670000,13.5,3,2,2,657,-37.7269,144.8742,Western Metropolitan,229
2,h,675000,13.5,2,1,1,612,-37.7187,144.8765,Western Metropolitan,229
3,h,1042000,13.5,3,2,5,612,-37.7173,144.8796,Western Metropolitan,229
3,h,910000,13.5,3,1,1,775,-37.7231,144.8835,Western Metropolitan,229
4,h,773000,13.5,5,3,4,531,-37.7263,144.8679,Western Metropolitan,229
3,h,810000,13.5,3,3,2,555,-37.7285,144.8694,Western Metropolitan,229
3,h,715000,13.5,3,2,2,422,-37.7164,144.8792,Western Metropolitan,229
3,h,790000,13.5,3,1,3,614,-37.7194,144.8827,Western Metropolitan,229
3,t,540000,13.5,2,2,1,161,-37.7231,144.8802,Western Metropolitan,229
3,t,825000,13.5,3,2,1,293,-37.72,144.8776,Western Metropolitan,229
3,h,685000,13.5,3,1,1,579,-37.7226,144.8733,Western Metropolitan,229
3,h,805000,13.5,3,1,1,623,-37.7184,144.882,Western Metropolitan,229
2,u,510000,13.5,2,1,1,141,-37.7202,144.8797,Western Metropolitan,229
3,h,612000,13.5,3,2,1,212,-37.7181,144.8824,Western Metropolitan,229
3,h,662000,13.5,3,1,2,612,-37.7169,144.8815,Western Metropolitan,229
4,h,978000,13.5,4,3,2,532,-37.7263,144.869,Western Metropolitan,229
3,h,720000,13.5,3,1,1,585,-37.72,144.878,Western Metropolitan,229
4,h,765000,13.5,4,1,2,509,-37.7261,144.8785,Western Metropolitan,229
4,h,900000,13.5,4,2,3,628,-37.7256,144.8739,Western Metropolitan,229
2,h,1275000,3.3,2,1,0,120,-37.8459,144.9555,Southern Metropolitan,191
2,h,1455000,3.3,2,1,0,159,-37.845,144.9538,Southern Metropolitan,191
3,h,2850000,3.3,3,2,0,211,-37.8481,144.9499,Southern Metropolitan,191
3,h,1850000,3.3,3,2,0,128,-37.8452,144.9488,Southern Metropolitan,191
2,h,1436000,3.3,2,1,0,130,-37.8431,144.9565,Southern Metropolitan,191
2,h,1110000,3.3,1,1,0,147,-37.8444,144.9484,Southern Metropolitan,191
2,h,1550000,3.3,2,1,1,167,-37.8405,144.9521,Southern Metropolitan,191
4,h,2300000,3.3,4,2,1,153,-37.8447,144.9523,Southern Metropolitan,191
3,t,1550000,3.3,3,2,2,718,-37.8443,144.9598,Southern Metropolitan,191
3,h,1800000,3.3,3,2,1,132,-37.8415,144.952,Southern Metropolitan,191
2,h,2120000,3.3,2,1,1,199,-37.8422,144.9554,Southern Metropolitan,191
3,h,1800000,3.3,3,1,1,253,-37.8443,144.9579,Southern Metropolitan,191
3,h,1800000,3.3,3,2,1,90,-37.8421,144.9571,Southern Metropolitan,191
2,h,1810000,3.3,2,1,0,240,-37.8379,144.9539,Southern Metropolitan,191
3,h,2615000,3.3,3,2,1,177,-37.8415,144.9585,Southern Metropolitan,191
5,h,2100000,3.3,5,2,1,237,-37.8436,144.9557,Southern Metropolitan,191
3,h,1300000,3.3,3,1,0,129,-37.8422,144.949,Southern Metropolitan,191
3,h,1370000,3.3,3,2,2,0,-37.8451,144.9511,Southern Metropolitan,191
2,h,1000000,3.3,2,1,0,288,-37.8407,144.9523,Southern Metropolitan,191
3,h,2575000,3.3,3,2,1,228,-37.8445,144.9501,Southern Metropolitan,191
2,h,1322500,3.3,2,1,0,149,-37.8443,144.9481,Southern Metropolitan,191
2,h,1562500,3.3,2,1,0,141,-37.8424,144.9562,Southern Metropolitan,191
3,h,2000000,3.3,3,2,1,211,-37.847,144.9575,Southern Metropolitan,191
3,h,1900000,3.3,3,1,0,209,-37.8468,144.9546,Southern Metropolitan,191
3,h,3010000,3.3,3,2,0,147,-37.8473,144.9551,Southern Metropolitan,191
4,h,2800000,3.3,4,3,1,327,-37.8467,144.9475,Southern Metropolitan,191
2,u,647000,3.3,2,1,1,0,-37.846,144.9542,Southern Metropolitan,191
3,h,2100000,3.3,2,1,1,120,-37.8427,144.9546,Southern Metropolitan,191
3,h,2000000,3.3,3,1,1,238,-37.8461,144.9528,Southern Metropolitan,191
1,u,442500,3.3,1,1,0,0,-37.8421,144.9517,Southern Metropolitan,191
4,h,4735000,3.3,4,2,1,330,-37.8477,144.9558,Southern Metropolitan,191
2,h,1340000,3.3,2,1,0,136,-37.846,144.9517,Southern Metropolitan,191
3,h,1801000,3.3,3,1,1,202,-37.8429,144.9493,Southern Metropolitan,191
3,h,1532000,3.3,3,3,1,0,-37.8415,144.9585,Southern Metropolitan,191
3,h,3755000,3.3,3,2,2,325,-37.8413,144.95,Southern Metropolitan,191
4,h,2140000,3.3,3,2,1,183,-37.8434,144.9495,Southern Metropolitan,191
2,h,1750000,3.3,2,1,1,162,-37.8416,144.9488,Southern Metropolitan,191
2,h,980000,3.3,2,1,0,79,-37.8387,144.9519,Southern Metropolitan,191
3,h,2030000,3.3,3,2,0,152,-37.8488,144.9551,Southern Metropolitan,191
3,h,1740000,3.3,3,2,2,147,-37.8448,144.9453,Southern Metropolitan,191
3,h,2800000,3.3,3,3,1,0,-37.8399,144.9577,Southern Metropolitan,191
1,h,985000,3.3,1,1,0,81,-37.8411,144.9497,Southern Metropolitan,191
4,h,2000000,6.4,3,2,4,853,-37.7707,145.0318,Northern Metropolitan,239
3,h,1110000,6.4,3,2,2,208,-37.7854,145.0325,Northern Metropolitan,239
3,h,1492000,6.4,3,2,2,411,-37.7713,145.0279,Northern Metropolitan,239
4,h,1717500,6.4,4,2,1,599,-37.7717,145.031,Northern Metropolitan,239
5,h,2840000,6.4,5,4,4,809,-37.775,145.0268,Northern Metropolitan,239
2,u,525500,6.4,2,1,1,88,-37.7791,145.0306,Northern Metropolitan,239
2,t,805000,6.4,2,2,3,155,-37.7804,145.0308,Northern Metropolitan,239
2,u,465000,6.4,2,1,1,0,-37.7773,145.0314,Northern Metropolitan,239
3,h,2000000,6.4,3,3,2,686,-37.78,145.0341,Northern Metropolitan,239
3,h,1540000,6.4,3,1,2,592,-37.7755,145.0288,Northern Metropolitan,239
2,u,820000,6.4,2,1,1,183,-37.7747,145.0264,Northern Metropolitan,239
4,h,1830000,6.4,4,2,2,606,-37.7743,145.0316,Northern Metropolitan,239
4,h,2100000,6.4,4,2,2,575,-37.7723,145.0319,Northern Metropolitan,239
3,h,865000,6.4,3,1,1,180,-37.7802,145.0243,Northern Metropolitan,239
2,u,390000,6.4,2,1,1,0,-37.7773,145.0314,Northern Metropolitan,239
2,t,650000,6.4,0,1,0,0,-37.7848,145.025,Northern Metropolitan,239
2,u,512000,6.4,2,1,1,0,-37.7805,145.0262,Northern Metropolitan,239
3,h,1361000,6.4,3,1,2,512,-37.7796,145.0285,Northern Metropolitan,239
3,h,1165000,6.4,3,1,2,979,-37.7792,145.029,Northern Metropolitan,239
4,h,1900000,6.4,4,2,2,556,-37.7844,145.0225,Northern Metropolitan,239
3,h,1485000,6.4,3,0,0,597,-37.7781,145.0284,Northern Metropolitan,239
4,h,1950000,6.4,4,2,3,589,-37.7719,145.0309,Northern Metropolitan,239
3,h,520000,13.8,3,2,1,352,-37.87,144.825,Western Metropolitan,229
5,h,1525000,13.8,5,3,3,729,-37.8721,144.8105,Western Metropolitan,229
2,t,720000,13.8,2,1,2,292,-37.8687,144.8197,Western Metropolitan,229
3,h,1120000,13.8,3,1,2,506,-37.8693,144.8375,Western Metropolitan,229
4,h,780000,13.8,4,1,4,655,-37.868,144.8154,Western Metropolitan,229
4,h,1780000,13.8,4,3,6,1057,-37.8681,144.819,Western Metropolitan,229
3,u,630000,13.8,2,1,2,311,-37.8702,144.8143,Western Metropolitan,229
2,u,406000,13.8,2,1,1,65,-37.8693,144.8171,Western Metropolitan,229
3,h,660000,13.8,3,1,1,602,-37.8616,144.8116,Western Metropolitan,229
3,h,683500,13.8,3,1,1,530,-37.8594,144.817,Western Metropolitan,229
2,u,580000,13.8,2,1,1,225,-37.8696,144.827,Western Metropolitan,229
3,h,1335000,13.8,3,1,4,777,-37.8697,144.8249,Western Metropolitan,229
3,t,800000,13.8,3,2,2,280,-37.8734,144.8143,Western Metropolitan,229
2,u,510000,13.8,2,1,1,127,-37.8686,144.8182,Western Metropolitan,229
4,h,1070000,13.8,4,2,2,695,-37.8733,144.8147,Western Metropolitan,229
2,u,425000,13.8,2,1,2,115,-37.871,144.8185,Western Metropolitan,229
3,u,605000,13.8,3,2,2,230,-37.8646,144.827,Western Metropolitan,229
3,t,705000,13.8,3,2,2,197,-37.8579,144.8181,Western Metropolitan,229
2,u,391000,13.8,2,1,1,0,-37.8678,144.8384,Western Metropolitan,229
2,u,440000,13.8,2,1,1,0,-37.8659,144.831,Western Metropolitan,229
4,h,845000,13.8,4,1,2,745,-37.8658,144.8155,Western Metropolitan,229
3,t,743000,13.8,3,2,2,211,-37.8698,144.816,Western Metropolitan,229
3,u,730000,13.8,3,2,1,69,-37.868,144.8286,Western Metropolitan,229
3,h,635000,13.8,3,1,4,625,-37.8611,144.8114,Western Metropolitan,229
2,u,620000,13.8,2,1,1,168,-37.8676,144.8202,Western Metropolitan,229
2,u,447000,13.8,2,1,1,137,-37.8655,144.8299,Western Metropolitan,229
3,u,730000,13.8,3,2,1,70,-37.868,144.8287,Western Metropolitan,229
3,h,678000,13.8,3,1,2,606,-37.8608,144.8124,Western Metropolitan,229
2,u,580000,13.8,2,2,1,175,-37.8687,144.8268,Western Metropolitan,229
3,h,712000,13.8,3,1,2,363,-37.8674,144.8375,Western Metropolitan,229
3,h,840000,13.8,3,2,2,534,-37.86,144.8245,Western Metropolitan,229
3,h,980000,13.8,3,1,2,724,-37.8672,144.817,Western Metropolitan,229
3,t,605100,13.8,3,2,0,265,-37.8583,144.8172,Western Metropolitan,229
3,h,880000,13.8,3,3,1,577,-37.8699,144.8235,Western Metropolitan,229
3,u,577000,13.8,3,2,1,205,-37.8684,144.815,Western Metropolitan,229
4,h,1030000,13.8,4,1,0,797,-37.8663,144.8387,Western Metropolitan,229
3,u,605000,13.8,3,1,2,181,-37.8659,144.822,Western Metropolitan,229
3,h,753000,13.8,3,2,2,529,-37.8612,144.8247,Western Metropolitan,229
2,h,857000,13.8,2,2,1,675,-37.8653,144.8129,Western Metropolitan,229
3,h,1500000,13.8,3,1,1,929,-37.8651,144.832,Western Metropolitan,229
3,u,730000,13.8,3,2,1,70,-37.868,144.8285,Western Metropolitan,229
3,h,900000,13.8,3,1,4,697,-37.871,144.8075,Western Metropolitan,229
3,h,740000,13.8,3,1,2,604,-37.8631,144.8195,Western Metropolitan,229
4,h,931000,13.8,4,2,3,532,-37.8637,144.8365,Western Metropolitan,229
2,h,535600,13.8,2,1,1,154,-37.8646,144.8272,Western Metropolitan,229
5,h,1085000,11.1,5,3,6,592,-37.8388,144.8567,Western Metropolitan,229
3,h,781000,11.1,3,1,2,533,-37.8291,144.835,Western Metropolitan,229
3,h,750000,11.1,3,1,3,554,-37.8449,144.85,Western Metropolitan,229
2,t,421000,11.1,2,1,1,77,-37.8351,144.8529,Western Metropolitan,229
3,h,1405000,11.1,3,1,3,655,-37.8338,144.8562,Western Metropolitan,229
3,h,683000,11.1,3,1,2,534,-37.8284,144.8355,Western Metropolitan,229
3,h,623000,11.1,3,1,3,540,-37.8267,144.8368,Western Metropolitan,229
3,h,720000,11.1,3,2,1,0,-37.8379,144.8583,Western Metropolitan,229
3,h,588000,11.1,3,1,1,328,-37.838,144.8555,Western Metropolitan,229
3,h,710000,11.1,3,1,3,540,-37.8294,144.8378,Western Metropolitan,229
4,h,875000,11.1,3,1,4,559,-37.8448,144.8529,Western Metropolitan,229
3,h,700000,11.1,3,1,3,554,-37.8449,144.85,Western Metropolitan,229
2,t,640000,11.1,2,1,1,252,-37.8397,144.8602,Western Metropolitan,229
4,h,650000,11.1,4,1,4,558,-37.8451,144.8529,Western Metropolitan,229
3,h,675000,11.1,3,2,2,171,-37.8337,144.8554,Western Metropolitan,229
3,h,708000,11.1,3,1,2,585,-37.8258,144.8523,Western Metropolitan,229
4,h,965000,11.1,4,1,4,851,-37.8345,144.8444,Western Metropolitan,229
3,h,680000,11.1,3,1,3,551,-37.8254,144.8514,Western Metropolitan,229
3,h,770000,11.1,3,1,3,602,-37.8327,144.8451,Western Metropolitan,229
3,h,923000,11.1,3,1,2,740,-37.8269,144.8455,Western Metropolitan,229
4,h,693000,11.1,4,2,4,315,-37.8391,144.8467,Western Metropolitan,229
3,h,620000,11.1,5,2,2,276,-37.8262,144.8443,Western Metropolitan,229
3,h,728500,11.1,3,1,1,531,-37.8277,144.8385,Western Metropolitan,229
3,h,931000,11.1,3,2,1,590,-37.8382,144.8649,Western Metropolitan,229
3,h,988000,11.1,3,1,4,715,-37.8423,144.8632,Western Metropolitan,229
3,h,590000,11.1,3,1,2,561,-37.8444,144.8491,Western Metropolitan,229
2,h,610000,11.1,2,1,2,691,-37.834,144.8553,Western Metropolitan,229
3,h,815000,11.1,3,2,3,555,-37.8318,144.8388,Western Metropolitan,229
4,h,970000,11.1,4,1,2,708,-37.833,144.8494,Western Metropolitan,229
4,h,760000,11.1,4,1,3,668,-37.8262,144.8439,Western Metropolitan,229
4,t,847500,11.1,4,3,1,252,-37.8393,144.8568,Western Metropolitan,229
4,h,1200000,11.1,4,1,4,633,-37.8375,144.8541,Western Metropolitan,229
3,h,700000,11.1,3,1,1,557,-37.8441,144.8505,Western Metropolitan,229
3,h,625000,11.1,3,1,1,536,-37.8285,144.8351,Western Metropolitan,229
2,u,292000,11.1,2,1,1,153,-37.8332,144.8649,Western Metropolitan,229
2,u,599000,6.3,2,1,1,0,-37.8543,145.0262,Southern Metropolitan,191
2,u,550000,6.3,2,1,0,861,-37.8539,145.0284,Southern Metropolitan,191
3,u,995000,6.3,3,2,2,0,-37.8552,145.016,Southern Metropolitan,191
3,t,1205000,6.3,3,2,2,101,-37.854,145.0135,Southern Metropolitan,191
3,h,1939000,6.3,3,2,2,296,-37.8614,145.0274,Southern Metropolitan,191
1,u,421500,6.3,1,1,0,0,-37.853,145.0167,Southern Metropolitan,191
3,h,1870000,6.3,3,1,1,217,-37.8592,145.0182,Southern Metropolitan,191
2,u,678000,6.3,2,1,2,0,-37.8538,145.0127,Southern Metropolitan,191
3,t,1918000,6.3,3,2,2,0,-37.8537,145.0267,Southern Metropolitan,191
2,u,660000,6.3,2,1,1,0,-37.8619,145.0257,Southern Metropolitan,191
3,h,2050000,6.3,3,2,1,205,-37.8574,145.0281,Southern Metropolitan,191
2,u,700000,6.3,2,1,2,0,-37.8552,145.016,Southern Metropolitan,191
2,u,3625000,6.3,3,2,2,0,-37.8555,145.0291,Southern Metropolitan,191
4,h,3000000,6.3,4,2,2,1581,-37.858,145.0111,Southern Metropolitan,191
5,h,1525000,6.3,8,2,2,693,-37.8638,145.0229,Southern Metropolitan,191
3,u,735000,6.3,3,2,1,2113,-37.8543,145.0262,Southern Metropolitan,191
2,u,825000,6.3,2,1,1,0,-37.8528,145.0268,Southern Metropolitan,191
3,t,1586000,6.3,2,2,2,246,-37.8566,145.0116,Southern Metropolitan,191
2,u,645000,6.3,3,1,1,0,-37.8596,145.0198,Southern Metropolitan,191
1,h,1435000,6.3,2,2,1,144,-37.8564,145.0228,Southern Metropolitan,191
1,u,280000,6.3,1,1,1,0,-37.8619,145.0185,Southern Metropolitan,191
1,u,400000,6.3,1,1,1,0,-37.8605,145.0185,Southern Metropolitan,191
2,h,1780000,6.3,2,2,2,0,-37.8537,145.0267,Southern Metropolitan,191
2,u,592500,6.3,2,1,1,0,-37.8574,145.0174,Southern Metropolitan,191
2,h,1210000,6.3,2,1,0,249,-37.8543,145.016,Southern Metropolitan,191
4,h,2801000,6.3,4,2,2,624,-37.8536,145.0173,Southern Metropolitan,191
1,u,390000,6.3,1,1,0,881,-37.8614,145.0222,Southern Metropolitan,191
3,h,1800000,6.3,3,2,2,405,-37.8545,145.0145,Southern Metropolitan,191
4,h,2200000,6.3,4,1,2,495,-37.8613,145.0264,Southern Metropolitan,191
1,u,324000,6.3,1,1,1,0,-37.8537,145.0114,Southern Metropolitan,191
6,h,5525000,6.3,5,3,4,1491,-37.8602,145.013,Southern Metropolitan,191
2,h,1125000,6.3,3,1,2,169,-37.851,145.0161,Southern Metropolitan,191
3,h,2250000,6.3,3,3,1,301,-37.8511,145.0167,Southern Metropolitan,191
3,h,2360000,6.3,3,2,0,336,-37.8558,145.015,Southern Metropolitan,191
2,h,1900000,6.3,2,2,0,207,-37.8571,145.0224,Southern Metropolitan,191
1,u,440000,6.3,1,1,1,0,-37.8531,145.0115,Southern Metropolitan,191
2,u,490000,6.3,2,1,1,0,-37.8646,145.0247,Southern Metropolitan,191
3,h,2365000,6.3,3,2,1,316,-37.8521,145.019,Southern Metropolitan,191
3,h,1300000,6.3,2,1,2,212,-37.8542,145.0149,Southern Metropolitan,191
3,u,732000,6.3,3,2,2,0,-37.8597,145.0104,Southern Metropolitan,191
2,u,704000,6.3,2,1,1,0,-37.8573,145.0186,Southern Metropolitan,191
2,u,620000,6.3,3,1,1,0,-37.8596,145.0198,Southern Metropolitan,191
3,h,1900000,6.3,3,1,2,328,-37.8559,145.0158,Southern Metropolitan,191
1,u,315000,6.3,1,1,1,0,-37.8575,145.0174,Southern Metropolitan,191
1,u,450000,6.3,1,1,1,0,-37.8509,145.0203,Southern Metropolitan,191
2,u,710000,6.3,2,1,1,2471,-37.8573,145.0186,Southern Metropolitan,191
2,u,872000,6.3,2,1,1,1194,-37.8604,145.0147,Southern Metropolitan,191
2,u,598000,6.3,2,1,1,0,-37.8593,145.0156,Southern Metropolitan,191
3,h,1285000,6.3,3,1,2,186,-37.8554,145.0173,Southern Metropolitan,191
4,h,3660000,6.3,4,3,2,421,-37.8593,145.0275,Southern Metropolitan,191
2,u,520000,6.3,1,1,1,0,-37.8618,145.0183,Southern Metropolitan,191
4,h,3625000,6.3,4,1,2,709,-37.8574,145.016,Southern Metropolitan,191
4,h,4200000,6.3,4,3,3,563,-37.8582,145.0138,Southern Metropolitan,191
3,t,1101000,6.3,3,1,2,103,-37.8542,145.0135,Southern Metropolitan,191
3,h,3512500,6.3,3,2,2,617,-37.8557,145.0264,Southern Metropolitan,191
4,h,2000000,6.3,4,3,4,544,-37.8611,145.0195,Southern Metropolitan,191
3,u,869000,6.3,2,1,1,0,-37.853,145.0264,Southern Metropolitan,191
5,h,2810000,6.3,5,2,2,617,-37.8611,145.0271,Southern Metropolitan,191
2,u,565000,6.3,3,1,1,0,-37.8573,145.0112,Southern Metropolitan,191
1,u,567000,6.3,1,1,1,0,-37.8549,145.0113,Southern Metropolitan,191
2,u,546000,6.3,2,0,0,0,-37.8568,145.0161,Southern Metropolitan,191
2,u,471500,6.3,2,1,1,0,-37.8503,145.0185,Southern Metropolitan,191
2,u,455000,5.9,3,1,2,0,-37.7756,144.9165,Western Metropolitan,229
3,h,940000,5.9,3,1,2,298,-37.7777,144.9195,Western Metropolitan,229
2,u,467000,5.9,2,1,1,0,-37.7761,144.9201,Western Metropolitan,229
3,h,1380000,5.9,3,2,2,277,-37.7777,144.9221,Western Metropolitan,229
2,u,490000,5.9,2,1,1,423,-37.7736,144.9015,Western Metropolitan,229
4,h,1850000,5.9,4,3,1,478,-37.7729,144.9179,Western Metropolitan,229
3,h,1284000,5.9,3,1,2,623,-37.7758,144.9089,Western Metropolitan,229
3,h,971000,5.9,3,2,2,285,-37.775,144.9091,Western Metropolitan,229
2,h,710000,5.9,2,1,1,214,-37.7776,144.9142,Western Metropolitan,229
6,h,2425000,5.9,6,3,2,1014,-37.7721,144.9184,Western Metropolitan,229
2,h,750000,5.9,2,1,1,226,-37.7745,144.9093,Western Metropolitan,229
2,h,1053000,5.9,2,1,1,269,-37.7748,144.929,Western Metropolitan,229
3,h,1377000,5.9,3,1,1,417,-37.7756,144.9208,Western Metropolitan,229
3,h,970000,5.9,3,1,2,350,-37.7759,144.91,Western Metropolitan,229
2,h,940000,5.9,2,1,1,330,-37.773,144.9049,Western Metropolitan,229
2,h,751000,5.9,2,1,1,118,-37.7807,144.9288,Western Metropolitan,229
2,h,950000,5.9,2,1,1,173,-37.7731,144.9206,Western Metropolitan,229
2,u,685000,5.9,2,1,2,228,-37.7718,144.9066,Western Metropolitan,229
3,h,1230000,5.9,4,1,2,594,-37.7819,144.9064,Western Metropolitan,229
2,h,636500,5.9,2,1,1,0,-37.7738,144.9345,Western Metropolitan,229
3,h,910000,5.9,3,1,0,317,-37.7746,144.9112,Western Metropolitan,229
2,h,770000,5.9,2,1,1,226,-37.7774,144.9186,Western Metropolitan,229
3,h,960000,5.9,3,2,2,229,-37.7778,144.9065,Western Metropolitan,229
4,h,890000,5.9,4,1,1,300,-37.7766,144.9143,Western Metropolitan,229
2,h,965000,5.9,2,1,1,170,-37.7732,144.9206,Western Metropolitan,229
3,h,1440000,5.9,3,1,1,487,-37.7725,144.9146,Western Metropolitan,229
2,h,955000,5.9,2,1,0,255,-37.7825,144.9208,Western Metropolitan,229
2,u,450000,5.9,2,1,1,0,-37.7731,144.9074,Western Metropolitan,229
3,h,801000,5.9,3,1,2,431,-37.781,144.9207,Western Metropolitan,229
3,h,1000000,5.9,3,2,2,440,-37.7746,144.9031,Western Metropolitan,229
3,h,1435000,5.9,3,2,2,532,-37.7737,144.904,Western Metropolitan,229
1,u,390000,5.9,1,1,1,0,-37.7723,144.9094,Western Metropolitan,229
3,h,1425000,5.9,3,2,2,495,-37.7821,144.9055,Western Metropolitan,229
4,h,1340000,5.9,3,2,2,683,-37.775,144.932,Western Metropolitan,229
3,h,955000,5.9,3,1,1,263,-37.7753,144.9116,Western Metropolitan,229
4,h,1100000,5.9,4,2,5,559,-37.7791,144.9136,Western Metropolitan,229
3,h,1255000,5.9,3,2,2,308,-37.7759,144.9338,Western Metropolitan,229
2,u,432000,5.9,2,1,1,0,-37.773,144.9303,Western Metropolitan,229
4,h,1640000,5.9,4,3,2,562,-37.782,144.903,Western Metropolitan,229
6,h,1430000,5.9,4,2,1,461,-37.78,144.9295,Western Metropolitan,229
2,u,610000,5.9,2,1,1,301,-37.7791,144.914,Western Metropolitan,229
3,h,940000,5.9,3,3,1,491,-37.7727,144.9136,Western Metropolitan,229
3,h,890000,5.9,3,1,1,242,-37.7765,144.9114,Western Metropolitan,229
3,h,1180000,5.9,3,2,2,617,-37.7742,144.906,Western Metropolitan,229
4,h,1480000,5.9,4,2,2,597,-37.7757,144.9088,Western Metropolitan,229
2,h,1150000,5.9,2,1,1,387,-37.7734,144.9191,Western Metropolitan,229
